CODIGO,PROVINCIA
11,"Ciudad Autónoma de Buenos Aires/
Provincia de Buenos Aires (dentro del área metropolitana)"
220,Buenos Aires
221,Buenos Aires
223,Buenos Aires
230,Buenos Aires
236,Buenos Aires
237,Buenos Aires
249,Buenos Aires
260,Mendoza
261,Mendoza
263,Mendoza
264,San Juan
266,San Luis
280,Chubut
291,Buenos Aires
294,"Río Negro
Neuquén
Chubut"
297,"Chubut
Santa Cruz"
298,Río Negro
299,"Neuquén
Río Negro
La Pampa"
336,Buenos Aires
341,Santa Fe
342,Santa Fe
343,Entre Ríos
345,Entre Ríos
348,Buenos Aires
351,Córdoba
353,Córdoba
358,Córdoba
362,Chaco
364,Chaco
370,Formosa
376,Misiones
379,Corrientes
380,La Rioja
381,Tucumán
383,Catamarca
385,Santiago del Estero
387,Salta
388,Jujuy
2202,Buenos Aires
2221,Buenos Aires
2223,Buenos Aires
2224,Buenos Aires
2225,Buenos Aires
2226,Buenos Aires
2227,Buenos Aires
2229,Buenos Aires
2241,Buenos Aires
2242,Buenos Aires
2243,Buenos Aires
2244,Buenos Aires
2245,Buenos Aires
2246,Buenos Aires
2252,Buenos Aires
2254,Buenos Aires
2255,Buenos Aires
2257,Buenos Aires
2261,Buenos Aires
2262,Buenos Aires
2264,Buenos Aires
2265,Buenos Aires
2266,Buenos Aires
2267,Buenos Aires
2268,Buenos Aires
2271,Buenos Aires
2272,Buenos Aires
2273,Buenos Aires
2274,Buenos Aires
2281,Buenos Aires
2283,Buenos Aires
2284,Buenos Aires
2285,Buenos Aires
2286,Buenos Aires
2291,Buenos Aires
2292,Buenos Aires
2296,Buenos Aires
2297,Buenos Aires
2302,"La Pampa /
Buenos Aires"
2314,Buenos Aires
2316,Buenos Aires
2317,Buenos Aires
2320,Buenos Aires
2323,Buenos Aires
2324,Buenos Aires
2325,Buenos Aires
2326,Buenos Aires
2331,La Pampa
2333,La Pampa
2334,La Pampa
2335,La Pampa
2336,Córdoba
2337,Buenos Aires
2338,La Pampa
2342,Buenos Aires
2343,Buenos Aires
2344,Buenos Aires
2345,Buenos Aires
2346,Buenos Aires
2352,Buenos Aires
2353,"Buenos Aires/
Santa Fe"
2354,Buenos Aires
2355,Buenos Aires
2356,Buenos Aires
2357,Buenos Aires
2358,Buenos Aires
2392,Buenos Aires
2393,Buenos Aires
2394,Buenos Aires
2395,Buenos Aires
2396,Buenos Aires
2473,"Buenos Aires/
Santa Fe"
2474,Buenos Aires
2475,Buenos Aires
2477,"Buenos Aires/
Santa Fe"
2478,Buenos Aires
2622,Mendoza
2624,Mendoza
2625,Mendoza
2626,Mendoza
2646,San Juan
2647,San Juan
2648,San Juan
2651,San Luis
2652,San Luis
2655,San Luis
2656,San Luis
2657,San Luis
2658,San Luis
2901,Tierra del Fuego
2902,Santa Cruz
2903,Chubut
2920,"Río Negro/
Buenos Aires"
2921,Buenos Aires
2922,Buenos Aires
2923,Buenos Aires
2924,"Buenos Aires
La Pampa"
2925,"Buenos Aires/
La Pampa"
2926,Buenos Aires
2927,Buenos Aires
2928,Buenos Aires
2929,Buenos Aires
2931,"Río Negro/
La Pampa"
2932,Buenos Aires
2933,Buenos Aires
2934,Río Negro
2935,Buenos Aires
2936,Buenos Aires
2940,Río Negro
2942,"Neuquén /
Río Negro"
2945,Chubut
2946,Río Negro
2948,Neuquén
2952,La Pampa
2953,La Pampa
2954,La Pampa
2962,Santa Cruz
2963,Santa Cruz
2964,Tierra del Fuego
2966,Santa Cruz
2972,Neuquén
2982,Buenos Aires
2983,Buenos Aires
3327,Buenos Aires
3329,Buenos Aires
3382,"Santa Fe /
Buenos Aires/
Córdoba"
3385,Córdoba
3387,Córdoba
3388,Buenos Aires
3400,Santa Fe
3401,Santa Fe
3402,Santa Fe
3404,Santa Fe
3405,Santa Fe
3406,Santa Fe
3407,Buenos Aires
3408,Santa Fe
3409,Santa Fe
3435,Entre Ríos
3436,Entre Ríos
3437,Entre Ríos
3438,Entre Ríos
3442,Entre Ríos
3444,Entre Ríos
3445,Entre Ríos
3446,Entre Ríos
3447,Entre Ríos
3454,Entre Ríos
3455,Entre Ríos
3456,Entre Ríos
3458,Entre Ríos
3460,Santa Fe
3462,Santa Fe
3463,Córdoba
3464,Santa Fe
3465,Santa Fe
3466,Santa Fe
3467,"Córdoba/
Santa Fe"
3468,"Córdoba/
Santa Fe"
3469,Santa Fe
3471,Santa Fe
3472,Córdoba
3476,Santa Fe
3482,Santa Fe
3483,Santa Fe
3487,Buenos Aires
3489,Buenos Aires
3491,"Santa Fe/
Santiago del Estero"
3492,Santa Fe
3493,Santa Fe
3496,Santa Fe
3497,Santa Fe
3498,Santa Fe
3521,Córdoba
3522,Córdoba
3524,Córdoba
3525,Córdoba
3532,Córdoba
3533,Córdoba
3537,Córdoba
3541,Córdoba
3542,Córdoba
3543,Córdoba
3544,Córdoba
3546,Córdoba
3547,Córdoba
3548,Córdoba
3549,Córdoba
3562,"Córdoba/
Santa Fe"
3563,Córdoba
3564,"Córdoba/
Santa Fe"
3571,Córdoba
3572,Córdoba
3573,Córdoba
3574,Córdoba
3575,Córdoba
3576,Córdoba
3582,"Córdoba/
San Luis"
3583,Córdoba
3584,Córdoba
3585,Córdoba
3711,Formosa
3715,"Formosa/
Chaco"
3716,Formosa
3718,Formosa
3721,Chaco
3725,Chaco
3731,Chaco
3734,Chaco
3735,Chaco
3741,Misiones
3743,Misiones
3751,Misiones
3754,Misiones
3755,Misiones
3756,Corrientes
3757,Misiones
3758,"Misiones /
Corrientes"
3772,Corrientes
3773,Corrientes
3774,Corrientes
3775,Corrientes
3777,Corrientes
3781,Corrientes
3782,Corrientes
3786,Corrientes
3821,La Rioja
3825,La Rioja
3826,La Rioja
3827,La Rioja
3832,"Catamarca/
Santiago del Estero"
3835,Catamarca
3837,Catamarca
3838,Catamarca
3841,Santiago del Estero
3843,Santiago del Estero
3844,Santiago del Estero
3845,Santiago del Estero
3846,Santiago del Estero
3854,Santiago del Estero
3855,Santiago del Estero
3856,Santiago del Estero
3857,Santiago del Estero
3858,Santiago del Estero
3861,Santiago del Estero
3862,Tucumán
3863,Tucumán
3865,Tucumán
3867,Tucumán
3868,Salta
3869,Tucumán
3873,Salta
3876,Salta
3877,"Salta/
Chaco"
3878,Salta
3885,"Jujuy /
Salta"
3886,Jujuy
3888,Jujuy
3889,Jujuy
3891,Tucumán
3892,Tucumán
3894,Tucumán
